class,text
positive,Wow... Loved this place.
negative,Crust is not good.
negative,Not tasty and the texture was just nasty.
positive,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
positive,The selection on the menu was great and so were the prices.
negative,Now I am getting angry and I want my damn pho.
negative,Honeslty it didn't taste THAT fresh.)
negative,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
positive,The fries were great too.
positive,A great touch.
positive,Service was very prompt.
negative,Would not go back.
negative,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.
positive,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!"
negative,I was disgusted because I was pretty sure that was human hair.
negative,I was shocked because no signs indicate cash only.
positive,Highly recommended.
negative,Waitress was a little slow in service.
negative,"This place is not worth your time, let alone Vegas."
negative,did not like at all.
negative,The Burrittos Blah!
positive,"The food, amazing."
positive,Service is also cute.
positive,I could care less... The interior is just beautiful.
positive,So they performed.
positive,That's right....the red velvet cake.....ohhh this stuff is so good.
negative,#NAME?
positive,"This hole in the wall has great Mexican street tacos, and friendly staff."
negative,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
negative,The worst was the salmon sashimi.
positive,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal."
negative,This was like the final blow!
positive,I found this place by accident and I could not be happier.
negative,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."
positive,"Overall, I like this place a lot."
positive,The only redeeming quality of the restaurant was that it was very inexpensive.
positive,Ample portions and good prices.
negative,"Poor service, the waiter made me feel like I was stupid every time he came to the table."
positive,My first visit to Hiro was a delight!
negative,Service sucks.
positive,The shrimp tender and moist.
negative,There is not a deal good enough that would drag me into that establishment again.
negative,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
positive,"On a positive note, our server was very attentive and provided great service."
negative,"Frozen pucks of disgust, with some of the worst people behind the register."
positive,The only thing I did like was the prime rib and dessert section.
negative,It's too bad the food is so damn generic.
positive,"The burger is good beef, cooked just right."
positive,If you want a sandwich just go to any Firehouse!!!!!
positive,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing."
positive,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.
positive,He came running after us when he realized my husband had left his sunglasses on the table.
positive,Their chow mein is so good!
negative,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food."
positive,The portion was huge!
positive,"Loved it...friendly servers, great food, wonderful and imaginative menu."
negative,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.
negative,Not much seafood and like 5 strings of pasta at the bottom.
positive,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked."
negative,"The ripped banana was not only ripped, but petrified and tasteless."
negative,At least think to refill my water before I struggle to wave you over for 10 minutes.
positive,This place receives stars for their APPETIZERS!!!
positive,The cocktails are all handmade and delicious.
positive,We'd definitely go back here again.
positive,We are so glad we found this place.
positive,"Great food and service, huge portions and they give a military discount."
positive,Always a great time at Dos Gringos!
positive,Update.....went back for a second time and it was still just as amazing
negative,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
positive,A great way to finish a great.
positive,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."
positive,#NAME?
negative,The service was meh.
negative,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk."
negative,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense."
negative,The scallop dish is quite appalling for value as well.
negative,2 times - Very Bad Customer Service !
positive,The sweet potato fries were very good and seasoned well.
positive,Today is the second time I've been to their lunch buffet and it was pretty good.
negative,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.
negative,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.
negative,walked in and the place smelled like an old grease trap and only 2 others there eating.
negative,The turkey and roast beef were bland.
positive,This place has it!
negative,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.
positive,I love the Pho and the spring rolls oh so yummy you have to try.
negative,The poor batter to meat ratio made the chicken tenders very unsatisfying.
positive,All I have to say is the food was amazing!!!
positive,Omelets are to die for!
positive,Everything was fresh and delicious!
negative,"In summary, this was a largely disappointing dining experience."
positive,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party."
negative,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"
positive,Best breakfast buffet!!!
negative,say bye bye to your tip lady!
negative,We'll never go again.
positive,Will be back again!
positive,Food arrived quickly!
negative,It was not good.
positive,"On the up side, their cafe serves really good food."
positive,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!"
positive,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming."
positive,"Best Buffet in town, for the price you cannot beat it."
positive,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious."
positive,This is one of the better buffets that I have been to.
positive,So we went to Tigerlilly and had a fantastic afternoon!
positive,"The food was delicious, our bartender was attentive and personable AND we got a great deal!"
positive,The ambience is wonderful and there is music playing.
positive,Will go back next trip out.
positive,Sooooo good!!
negative,"REAL sushi lovers, let's be honest - Yama is not that good."
negative,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy."
positive,This is a really fantastic Thai restaurant which is definitely worth a visit.
positive,"Nice, spicy and tender."
positive,Good prices.
positive,Check it out.
negative,It was pretty gross!
negative,I've had better atmosphere.
negative,Kind of hard to mess up a steak but they did.
negative,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing."
negative,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.
negative,"Worst service to boot, but that is the least of their worries."
positive,Service was fine and the waitress was friendly.
positive,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten."
positive,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night."
negative,"Host staff were, for lack of a better word, BITCHES!"
negative,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...
positive,"Phenomenal food, service and ambiance."
negative,I wouldn't return.
positive,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas."
negative,This place is way too overpriced for mediocre food.
positive,Penne vodka excellent!
positive,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers."
negative,The management is rude.
positive,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even."
positive,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations."
positive,I had a seriously solid breakfast here.
positive,This is one of the best bars with food in Vegas.
negative,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas."
positive,My drink was never empty and he made some really great menu suggestions.
negative,Don't do it!!!!
negative,The waiter wasn't helpful or friendly and rarely checked on us.
negative,My husband and I ate lunch here and were very disappointed with the food and service.
negative,And the red curry had so much bamboo shoots and wasn't very tasty to me.
positive,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.
positive,The bathrooms are clean and the place itself is well decorated.
negative,"The menu is always changing, food quality is going down & service is extremely slow."
negative,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace."
negative,I give it 2 thumbs down
negative,We watched our waiter pay a lot more attention to other tables and ignore us.
positive,My fianc̩ and I came in the middle of the day and we were greeted and seated right away.
positive,This is a great restaurant at the Mandalay Bay.
negative,We waited for forty five minutes in vain.
negative,Crostini that came with the salad was stale.
positive,Some highlights : Great quality nigiri here!
positive,the staff is friendly and the joint is always clean.
positive,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.
positive,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.
positive,this place is good.
negative,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE."
negative,I came back today since they relocated and still not impressed.
positive,I was seated immediately.
positive,"Their menu is diverse, and reasonably priced."
negative,Avoid at all cost!
positive,Restaurant is always full but never a wait.
positive,DELICIOUS!!
positive,This place is hands-down one of the best places to eat in the Phoenix metro area.
negative,So don't go there if you are looking for good food...
negative,I've never been treated so bad.
positive,Bacon is hella salty.
negative,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.
positive,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed."
positive,The waitresses are very friendly.
positive,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"
positive,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.
negative,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back."
negative,The service here leaves a lot to be desired.
positive,"The atmosphere is modern and hip, while maintaining a touch of coziness."
positive,"Not a weekly haunt, but definitely a place to come back to every once in a while."
negative,We literally sat there for 20 minutes with no one asking to take our order.
negative,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."
negative,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.
negative,I dressed up to be treated so rudely!
negative,It was probably dirt.
positive,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor."
positive,I ordered the Lemon raspberry ice cocktail which was also incredible.
negative,"The food sucked, which we expected but it sucked more than we could have imagined."
positive,Interesting decor.
positive,What I really like there is the crepe station.
positive,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good."
positive,you can watch them preparing the delicious food!)
positive,Both of the egg rolls were fantastic.
negative,"When my order arrived, one of the gyros was missing."
positive,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied."
negative,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.
positive,The best place to go for a tasty bowl of Pho!
negative,The live music on Fridays totally blows.
negative,I've never been more insulted or felt disrespected.
positive,Very friendly staff.
positive,It is worth the drive.
positive,"I had heard good things about this place, but it exceeding every hope I could have dreamed of."
positive,Food was great and so was the serivce!
negative,The warm beer didn't help.
positive,Great brunch spot.
positive,Service is friendly and inviting.
positive,Very good lunch spot.
negative,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.
negative,The WORST EXPERIENCE EVER.
negative,Must have been an off night at this place.
positive,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous."
negative,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen."
negative,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."
positive,My friend loved the salmon tartar.
negative,Won't go back.
positive,Extremely Tasty!
positive,Waitress was good though!
negative,Soggy and not good.
positive,The Jamaican mojitos are delicious.
negative,Which are small and not worth the price.
positive,#NAME?
negative,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!"
negative,The service was a bit lacking.
negative,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables."
negative,Hopefully this bodes for them going out of business and someone who can cook can come in.
negative,"It was either too cold, not enough flavor or just bad."
positive,I loved the bacon wrapped dates.
positive,This is an unbelievable BARGAIN!
positive,The folks at Otto always make us feel so welcome and special.
negative,"As for the ""mains,"" also uninspired."
positive,This is the place where I first had pho and it was amazing!!
positive,This wonderful experience made this place a must-stop whenever we are in town again.
negative,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people."
positive,Very very fun chef.
negative,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks."
positive,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.
negative,"If it were possible to give them zero stars, they'd have it."
negative,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."
positive,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing)."
negative,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.
positive,"Everyone is very attentive, providing excellent customer service."
negative,Horrible - don't waste your time and money.
positive,Now this dish was quite flavourful.
negative,By this time our side of the restaurant was almost empty so there was no excuse.
negative,"(It wasn't busy either) Also, the building was FREEZING cold."
negative,"like the other reviewer said ""you couldn't pay me to eat at this place again."""
negative,-Drinks took close to 30 minutes to come out at one point.
positive,"Seriously flavorful delights, folks."
positive,Much better than the other AYCE sushi place I went to in Vegas.
positive,The lighting is just dark enough to set the mood.
negative,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.
positive,Owner's are really great people.!
negative,There is nothing privileged about working/eating there.
positive,The Greek dressing was very creamy and flavorful.
negative,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."
positive,Now the pizza itself was good the peanut sauce was very tasty.
positive,We had 7 at our table and the service was pretty fast.
positive,Fantastic service here.
negative,I as well would've given godfathers zero stars if possible.
positive,They know how to make them here.
negative,very tough and very short on flavor!
positive,I hope this place sticks around.
negative,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water."
positive,The restaurant atmosphere was exquisite.
positive,"Good service, very clean, and inexpensive, to boot!"
positive,The seafood was fresh and generous in portion.
positive,"Plus, it's only 8 bucks."
negative,"The service was not up to par, either."
positive,"Thus far, have only visited twice and the food was absolutely delicious each time."
positive,Just as good as when I had it more than a year ago!
negative,"For a self proclaimed coffee cafe, I was wildly disappointed."
positive,The Veggitarian platter is out of this world!
positive,You cant go wrong with any of the food here.
positive,You can't beat that.
positive,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff."
positive,The chefs were friendly and did a good job.
negative,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho."
positive,I liked the patio and the service was outstanding.
positive,The goat taco didn't skimp on the meat and wow what FLAVOR!
negative,I think not again
negative,I had the mac salad and it was pretty bland so I will not be getting that again.
positive,I went to Bachi Burger on a friend's recommendation and was not disappointed.
negative,Service stinks here!
negative,I waited and waited.
negative,"This place is not quality sushi, it is not a quality restaurant."
positive,I would definitely recommend the wings as well as the pizza.
positive,Great Pizza and Salads!
negative,Things that went wrong: - They burned the saganaki.
negative,We waited an hour for what was a breakfast I could have done 100 times better at home.
positive,This place is amazing!
negative,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place."
negative,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!
negative,Just don't know why they were so slow.
positive,"The staff is great, the food is delish, and they have an incredible beer selection."
negative,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."
positive,I didn't know pulled pork could be soooo delicious.
positive,"You get incredibly fresh fish, prepared with care."
negative,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.
positive,I love the fact that everything on their menu is worth it.
negative,Never again will I be dining at this place!
positive,The food was excellent and service was very good.
positive,Good beer & drink selection and good food selection.
negative,Please stay away from the shrimp stir fried noodles.
negative,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.
negative,Food was really boring.
positive,Good Service-check!
negative,This greedy corporation will NEVER see another dime from me!
negative,"Will never, ever go back."
negative,"As much as I'd like to go back, I can't get passed the atrocious service and will never return."
positive,"In the summer, you can dine in a charming outdoor patio - so very delightful."
positive,I did not expect this to be so good!
positive,Fantastic food!
negative,She ordered a toasted English muffin that came out untoasted.
positive,The food was very good.
negative,Never going back.
positive,"Great food for the price, which is very high quality and house made."
negative,The bus boy on the other hand was so rude.
negative,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known."
positive,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways."
positive,"And considering the two of us left there very full and happy for about $20, you just can't go wrong."
positive,All the bread is made in-house!
negative,The only downside is the service.
negative,"Also, the fries are without a doubt the worst fries I've ever had."
positive,Service was exceptional and food was a good as all the reviews.
positive,"A couple of months later, I returned and had an amazing meal."
positive,Favorite place in town for shawarrrrrrma!!!!!!
positive,The black eyed peas and sweet potatoes... UNREAL!
positive,You won't be disappointed.
positive,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good."
negative,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00."
negative,When my mom and I got home she immediately got sick and she only had a few bites of salad.
negative,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.
positive,"Both of them were truly unbelievably good, and I am so glad we went back."
positive,"We had fantastic service, and were pleased by the atmosphere."
negative,Everything was gross.
positive,I love this place.
positive,Great service and food.
negative,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!
negative,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."
positive,"OMG, the food was delicioso!"
negative,There is nothing authentic about this place.
negative,the spaghetti is nothing special whatsoever.
positive,"Of all the dishes, the salmon was the best, but all were great."
positive,The vegetables are so fresh and the sauce feels like authentic Thai.
positive,It's worth driving up from Tucson!
negative,The selection was probably the worst I've seen in Vegas.....there was none.
positive,Pretty good beer selection too.
positive,"This place is like Chipotle, but BETTER."
positive,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!"
positive,5 stars for the brick oven bread app!
positive,"I have eaten here multiple times, and each time the food was delicious."
negative,We sat another ten minutes and finally gave up and left.
negative,He was terrible!
positive,Everyone is treated equally special.
